bill 已知	账单法案
apples 未知	翻译出错，请更新
appliance 未知	翻译出错，请更新
application 未知	翻译出错，请更新
applies 未知	翻译出错，请更新
appreciated 未知	翻译出错，请更新
apprehension 未知	翻译出错，请更新
approaches 未知	翻译出错，请更新
approbation 未知	翻译出错，请更新
appropriated 未知	翻译出错，请更新
approval 未知	翻译出错，请更新
aprons 未知	翻译出错，请更新
aptitudes 未知	翻译出错，请更新
aquiline 未知	翻译出错，请更新
archers 未知	翻译出错，请更新
archery 未知	翻译出错，请更新
arches 未知	翻译出错，请更新
argues 未知	翻译出错，请更新
arguing 未知	翻译出错，请更新
aristocracy 未知	翻译出错，请更新
armed 未知	翻译出错，请更新
armies 未知	翻译出错，请更新
armour 未知	翻译出错，请更新
arranges 未知	翻译出错，请更新
arrear 未知	翻译出错，请更新
arresting 未知	翻译出错，请更新
arrogant 未知	翻译出错，请更新
arrow 未知	翻译出错，请更新
articulate 未知	翻译出错，请更新
artificer 未知	翻译出错，请更新
artificial 未知	翻译出错，请更新
artisan 未知	翻译出错，请更新
ascendancy 未知	翻译出错，请更新
ascent 未知	翻译出错，请更新
ascertain 未知	翻译出错，请更新
asll 未知	翻译出错，请更新
asparagus 未知	翻译出错，请更新
aspired 未知	翻译出错，请更新
aspiring 未知	翻译出错，请更新
assailed 未知	翻译出错，请更新
assemblage 未知	翻译出错，请更新
assemblies 未知	翻译出错，请更新
assenting 未知	翻译出错，请更新
asserting 未知	翻译出错，请更新
assignations 未知	翻译出错，请更新
assigned 未知	翻译出错，请更新
assistant 未知	翻译出错，请更新
assisting 未知	翻译出错，请更新
assists 未知	翻译出错，请更新
associated 未知	翻译出错，请更新
associates 未知	翻译出错，请更新
assumes 未知	翻译出错，请更新
assuming 未知	翻译出错，请更新
assumption 未知	翻译出错，请更新
assurances 未知	翻译出错，请更新
astound 未知	翻译出错，请更新
athirst 未知	翻译出错，请更新
atic 未知	翻译出错，请更新
atmosphere 未知	翻译出错，请更新
atque 未知	翻译出错，请更新
attacking 未知	翻译出错，请更新
attained 未知	翻译出错，请更新
attainment 未知	翻译出错，请更新
attesting 未知	翻译出错，请更新
attitude 未知	翻译出错，请更新
attribute 未知	翻译出错，请更新
attributing 未知	翻译出错，请更新
au 未知	翻译出错，请更新
auditors 未知	翻译出错，请更新
auguries 未知	翻译出错，请更新
auld 未知	翻译出错，请更新
auspices 未知	翻译出错，请更新
austere 未知	翻译出错，请更新
austerity 未知	翻译出错，请更新
author 未知	翻译出错，请更新
authorising 未知	翻译出错，请更新
authorities 未知	翻译出错，请更新
autocrat 未知	翻译出错，请更新
automatically 未知	翻译出错，请更新
autumnal 未知	翻译出错，请更新
availed 未知	翻译出错，请更新
aver 未知	翻译出错，请更新
avis 未知	翻译出错，请更新
avocation 未知	翻译出错，请更新
avowal 未知	翻译出错，请更新
awaiting 未知	翻译出错，请更新
awarded 未知	翻译出错，请更新
aweinspiring 未知	翻译出错，请更新
awry 未知	翻译出错，请更新
ay 未知	翻译出错，请更新
ayear 未知	翻译出错，请更新
babies 未知	翻译出错，请更新
backbroken 未知	翻译出错，请更新
backers 未知	翻译出错，请更新
background 未知	翻译出错，请更新
backs 未知	翻译出错，请更新
backward 未知	翻译出错，请更新
badgered 未知	翻译出错，请更新
baffling 未知	翻译出错，请更新
bait 未知	翻译出错，请更新
bake 未知	翻译出错，请更新
balcony 未知	翻译出错，请更新
bale 未知	翻译出错，请更新
balked 未知	翻译出错，请更新
ballad 未知	翻译出错，请更新
ballotlovers 未知	翻译出错，请更新
balls 未知	翻译出错，请更新
ballyrag 未知	翻译出错，请更新
balmy 未知	翻译出错，请更新
balustrade 未知	翻译出错，请更新
bandied 未知	翻译出错，请更新
bands 未知	翻译出错，请更新
baneful 未知	翻译出错，请更新
bankers 未知	翻译出错，请更新
banns 未知	翻译出错，请更新
banqueting 未知	翻译出错，请更新
bantering 未知	翻译出错，请更新
baptising 未知	翻译出错，请更新
baptism 未知	翻译出错，请更新
barbarity 未知	翻译出错，请更新
barbed 未知	翻译出错，请更新
bareness 未知	翻译出错，请更新
barest 未知	翻译出错，请更新
bargains 未知	翻译出错，请更新
bark 未知	翻译出错，请更新
barks 未知	翻译出错，请更新
barony 未知	翻译出错，请更新
barque 未知	翻译出错，请更新
barred 未知	翻译出错，请更新
bars 未知	翻译出错，请更新
basely 未知	翻译出错，请更新
bashfulness 未知	翻译出错，请更新
basis 未知	翻译出错，请更新
batches 未知	翻译出错，请更新
bean 未知	翻译出错，请更新
bearer 未知	翻译出错，请更新
bears 未知	翻译出错，请更新
beasty 未知	翻译出错，请更新
beats 未知	翻译出错，请更新
beauteous 未知	翻译出错，请更新
beef 未知	翻译出错，请更新
befriend 未知	翻译出错，请更新
begets 未知	翻译出错，请更新
beggars 未知	翻译出错，请更新
begrudge 未知	翻译出错，请更新
begrudged 未知	翻译出错，请更新
behest 未知	翻译出错，请更新
behests 未知	翻译出错，请更新
beholding 未知	翻译出错，请更新
behoof 未知	翻译出错，请更新
belabour 未知	翻译出错，请更新
belt 未知	翻译出错，请更新
belted 未知	翻译出错，请更新
bending 未知	翻译出错，请更新
benefited 未知	翻译出错，请更新
benevolent 未知	翻译出错，请更新
bequeathed 未知	翻译出错，请更新
bereaved 未知	翻译出错，请更新
beseeching 未知	翻译出错，请更新
bestials 未知	翻译出错，请更新
bestower 未知	翻译出错，请更新
bestowing 未知	翻译出错，请更新
bestows 未知	翻译出错，请更新
bethought 未知	翻译出错，请更新
betraying 未知	翻译出错，请更新
betrays 未知	翻译出错，请更新
betrothal 未知	翻译出错，请更新
betting 未知	翻译出错，请更新
bide 未知	翻译出错，请更新
bided 未知	翻译出错，请更新
biggest 未知	翻译出错，请更新
bigwigs 未知	翻译出错，请更新
billiard 未知	翻译出错，请更新
billiardroom 未知	翻译出错，请更新
billiards 未知	翻译出错，请更新
binding 未知	翻译出错，请更新
biographer 未知	翻译出错，请更新
biography 未知	翻译出错，请更新
bishopric 未知	翻译出错，请更新
bits 未知	翻译出错，请更新
blackballs 未知	翻译出错，请更新
blackguards 未知	翻译出错，请更新
blackly 未知	翻译出错，请更新
blackness 未知	翻译出错，请更新
blandishments 未知	翻译出错，请更新
blazes 未知	翻译出错，请更新
blazon 未知	翻译出错，请更新
blindly 未知	翻译出错，请更新
blinds 未知	翻译出错，请更新
blocked 未知	翻译出错，请更新
blot 未知	翻译出错，请更新
blundering 未知	翻译出错，请更新
blurt 未知	翻译出错，请更新
blushes 未知	翻译出错，请更新
boasted 未知	翻译出错，请更新
boastings 未知	翻译出错，请更新
boathouses 未知	翻译出错，请更新
bodily 未知	翻译出错，请更新
bog 未知	翻译出错，请更新
boiled 未知	翻译出错，请更新
bolt 未知	翻译出错，请更新
bond 未知	翻译出错，请更新
bookkeeping 未知	翻译出错，请更新
bookroom 未知	翻译出错，请更新
booth 未知	翻译出错，请更新
bootmaker 未知	翻译出错，请更新
border 未知	翻译出错，请更新
bored 未知	翻译出错，请更新
boring 未知	翻译出错，请更新
boroughmongering 未知	翻译出错，请更新
borrowed 未知	翻译出错，请更新
bother 未知	翻译出错，请更新
bothered 未知	翻译出错，请更新
bothers 未知	翻译出错，请更新
bottles 未知	翻译出错，请更新
bounds 未知	翻译出错，请更新
bowing 未知	翻译出错，请更新
bowl 未知	翻译出错，请更新
bowled 未知	翻译出错，请更新
bowwindow 未知	翻译出错，请更新
brace 未知	翻译出错，请更新
bracelets 未知	翻译出错，请更新
branch 未知	翻译出错，请更新
branches 未知	翻译出错，请更新
brandishing 未知	翻译出错，请更新
brass 未知	翻译出错，请更新
breakers 未知	翻译出错，请更新
breakfasted 未知	翻译出错，请更新
breakfasting 未知	翻译出错，请更新
breakfastroom 未知	翻译出错，请更新
breakup 未知	翻译出错，请更新
breathed 未知	翻译出错，请更新
bred 未知	翻译出错，请更新
breeding 未知	翻译出错，请更新
breezes 未知	翻译出错，请更新
brewer 未知	翻译出错，请更新
breweries 未知	翻译出错，请更新
bribery 未知	翻译出错，请更新
brideelect 未知	翻译出错，请更新
bridling 未知	翻译出错，请更新
brief 未知	翻译出错，请更新
briefless 未知	翻译出错，请更新
briefs 未知	翻译出错，请更新
brightfaced 未知	翻译出错，请更新
brightly 未知	翻译出错，请更新
brisk 未知	翻译出错，请更新
brogue 未知	翻译出错，请更新
broiling 未知	翻译出错，请更新
brokenly 未知	翻译出错，请更新
brooded 未知	翻译出错，请更新
brooding 未知	翻译出错，请更新
broom 未知	翻译出错，请更新
brooms 未知	翻译出错，请更新
brotherclerks 未知	翻译出错，请更新
brotherly 未知	翻译出错，请更新
browbeats 未知	翻译出错，请更新
browner 未知	翻译出错，请更新
bruises 未知	翻译出错，请更新
brush 未知	翻译出错，请更新
brusque 未知	翻译出错，请更新
brutal 未知	翻译出错，请更新
brutes 未知	翻译出错，请更新
buckle 未知	翻译出错，请更新
buffer 未知	翻译出错，请更新
building 未知	翻译出错，请更新
bull 未知	翻译出错，请更新
bulldog 未知	翻译出错，请更新
bullied 未知	翻译出错，请更新
bullies 未知	翻译出错，请更新
bully 未知	翻译出错，请更新
bulwark 未知	翻译出错，请更新
bulwarks 未知	翻译出错，请更新
bunch 未知	翻译出错，请更新
bungled 未知	翻译出错，请更新
buoy 未知	翻译出错，请更新
buoyancy 未知	翻译出错，请更新
buoyed 未知	翻译出错，请更新
burdensome 未知	翻译出错，请更新
burke 未知	伯克
burn 未知	翻译出错，请更新
burning 未知	翻译出错，请更新
bursting 未知	翻译出错，请更新
bursts 未知	翻译出错，请更新
bustle 未知	翻译出错，请更新
butcher 未知	翻译出错，请更新
butchers 未知	翻译出错，请更新
buttered 未知	翻译出错，请更新
buttonhole 未知	翻译出错，请更新
buttonholed 未知	翻译出错，请更新
byword 未知	翻译出错，请更新
cabbages 未知	翻译出错，请更新
cabinet 未知	翻译出错，请更新
cabs 未知	翻译出错，请更新
calculating 未知	翻译出错，请更新
calendar 未知	翻译出错，请更新
calibre 未知	翻译出错，请更新
caller 未知	翻译出错，请更新
candles 未知	翻译出错，请更新
cantankerous 未知	翻译出错，请更新
cantered 未知	翻译出错，请更新
canvas 未知	翻译出错，请更新
canvassing 未知	翻译出错，请更新
capability 未知	翻译出错，请更新
capitalists 未知	翻译出错，请更新
capitals 未知	翻译出错，请更新
caprice 未知	翻译出错，请更新
capricious 未知	翻译出错，请更新
captains 未知	翻译出错，请更新
captive 未知	翻译出错，请更新
captivity 未知	翻译出错，请更新
carcass 未知	翻译出错，请更新
caressed 未知	翻译出错，请更新
carpet 未知	翻译出错，请更新
carter 未知	翻译出错，请更新
carved 未知	翻译出错，请更新
castaway 未知	翻译出错，请更新
castles 未知	翻译出错，请更新
casual 未知	翻译出错，请更新
cataracts 未知	翻译出错，请更新
catches 未知	翻译出错，请更新
catching 未知	翻译出错，请更新
cattle 未知	翻译出错，请更新
caustic 未知	翻译出错，请更新
cautions 未知	翻译出错，请更新
cautiously 未知	翻译出错，请更新
caves 未知	翻译出错，请更新
cavil 未知	翻译出错，请更新
ceases 未知	翻译出错，请更新
